suite,baseline,comparison,metric,rows,difference,ci95_low,ci95_high,bootstrap_iterations,fraction_bootstrap_difference_above_zero
full,content,content_official,accuracy,9069,0.01246002866909246,0.005844084243025738,0.019075973095159293,5000,0.9998
full,content,content_official,f1_pos,9069,0.010977143837163528,0.005259250715563171,0.016620273199270712,5000,1.0
full,content,content_official,macro_f1,9069,0.01260748670743106,0.005846137377779701,0.019432161561134635,5000,0.9996
main,content,content_official,accuracy,2000,0.03149999999999997,0.014500000000000068,0.04849999999999999,5000,0.9998
main,content,content_official,f1_pos,2000,0.025754097970986267,0.011493358580691273,0.040038333741616305,5000,0.9998
main,content,content_official,macro_f1,2000,0.03313259139049485,0.015414187085797563,0.05086130617196725,5000,0.9998
qwen,content,content_context,accuracy,400,-0.15250000000000008,-0.2074999999999999,-0.09999999999999998,5000,0.0
qwen,content,content_context,f1_pos,400,-0.11225217515333052,-0.15919523315195547,-0.06697787758360212,5000,0.0
qwen,content,content_context,macro_f1,400,-0.17190055700967122,-0.22748110796705526,-0.11759258652154568,5000,0.0
qwen,content,content_official,accuracy,400,0.029999999999999916,-0.015000000000000013,0.07499999999999996,5000,0.8902
qwen,content,content_official,f1_pos,400,0.026055441277304303,-0.010749911447106795,0.06212961713378745,5000,0.9136
qwen,content,content_official,macro_f1,400,0.030315069051828347,-0.017757964626159126,0.07710332280201267,5000,0.885
qwen,content,content_qwen,accuracy,400,0.01749999999999996,-0.02749999999999997,0.0625,5000,0.7598
qwen,content,content_qwen,f1_pos,400,0.013925454936830395,-0.02325136300806526,0.051587847202998804,5000,0.7702
qwen,content,content_qwen,macro_f1,400,0.01870987999226681,-0.02802283582522329,0.0669119622508398,5000,0.777
