shot,seed,macro_f1,accuracy,content_macro_f1,calibrated_content_macro_f1,tfidf_macro_f1,oracle_macro_f1,validation_macro_f1,alpha_content,threshold
50,100,0.7707517162370221,0.7903848274341162,0.7700149620875916,0.7707517162370221,0.669082360166833,0.7786040420521319,0.7889659330720531,1.0,0.5100000000000001
50,101,0.7355695719503823,0.7395523210938362,0.7371822254449047,0.7371822254449047,0.6913906067170097,0.7783010558706355,0.8298468621759583,0.35000000000000003,0.5700000000000002
50,102,0.760552798095171,0.7686624765685302,0.7585049937295272,0.7597235721253066,0.6737691179596742,0.748154786273077,0.8197115384615384,0.8,0.43000000000000005
50,ensemble,0.7728981212141119,0.7821148969015327,0.7728981212141119,0.7728981212141119,,0.7950007490991098,0.7966101694915255,1.0,0.5100000000000001
60,100,0.7702951052064461,0.7785863932076303,0.7732647587588002,0.7732647587588002,0.6951641863918928,0.7509373904857832,0.7666018338427341,0.35000000000000003,0.5700000000000002
60,101,0.7594858821341379,0.7760502811776381,0.759930708228001,0.759930708228001,0.6562707773825831,0.7868756934846118,0.7830923248053392,0.5,0.5000000000000001
60,102,0.7768742783916541,0.7827764913441394,0.7768742783916541,0.7768742783916541,0.704746302151634,0.7768742783916541,0.8166666666666667,1.0,0.5000000000000001
60,ensemble,0.7885594682107226,0.7994266181497409,0.7885594682107226,0.7885594682107226,,0.7820718319323243,0.786030212040046,1.0,0.5000000000000001
70,100,0.7490784898249813,0.758518028448561,0.7784644697950509,0.7739114523441029,0.6971110946255346,0.7860602444354914,0.7925925925925926,0.15000000000000002,0.5100000000000001
70,101,0.7797324604253895,0.7919285478001985,0.7802753851588186,0.7802753851588186,0.7101707298129107,0.7910714974547854,0.8054654932839278,0.4,0.45000000000000007
70,102,0.7802602272081448,0.7897232329915095,0.7811634369462703,0.7834130041039045,0.6520172211832085,0.8080000428521799,0.8427287581699346,0.5,0.6500000000000002
70,ensemble,0.8184515458884682,0.828316242143566,0.8164862840361304,0.8164862840361304,,0.8302299849348793,0.8011533788524394,0.75,0.5100000000000001
