model,suite,condition,seed,train_rows,test_rows,epochs,batch_size,gradient_accumulation_steps,effective_batch_size,max_length,trainable_parameters,total_parameters,elapsed_seconds,peak_torch_memory_mb,test_evaluations,loss,accuracy,precision,recall,f1,precision_pos,recall_pos,f1_pos,macro_precision,macro_recall,macro_f1,confusion_matrix
hfl/chinese-roberta-wwm-ext,main,content,100,2000,2000,3,8,2,16,128,102269186,102269186,48.67490809998708,2044.98876953125,1,0.4610744934082031,0.8735,0.8852327447833066,0.909315746084089,0.8971126474176494,0.8852327447833066,0.909315746084089,0.8971126474176494,0.8696720753094251,0.8638065388616125,0.8664667714700187,"[[644, 143], [110, 1103]]"
hfl/chinese-roberta-wwm-ext,main,content,101,2000,2000,3,8,2,16,128,102269186,102269186,48.456124499993166,2048.75439453125,1,0.48372524976730347,0.8815,0.8836477987421384,0.9266281945589447,0.9046277665995975,0.8836477987421384,0.9266281945589447,0.9046277665995975,0.8806975257446956,0.8692861430228015,0.8740960615176205,"[[639, 148], [89, 1124]]"
hfl/chinese-roberta-wwm-ext,main,content,102,2000,2000,3,8,2,16,128,102269186,102269186,48.96006689999194,2048.75439453125,1,0.5272634806632995,0.88,0.9017341040462428,0.9002473206924979,0.900990099009901,0.9017341040462428,0.9002473206924979,0.900990099009901,0.8741877110852253,0.8745201025317635,0.8743529175252551,"[[668, 119], [121, 1092]]"
hfl/chinese-roberta-wwm-ext,main,official,100,2000,2000,3,8,2,16,128,102269186,102269186,53.11550790000183,2221.82421875,1,0.4046454219818115,0.8905,0.8870716510903427,0.9389942291838417,0.9122947537044453,0.8870716510903427,0.9389942291838417,0.9122947537044453,0.89185984789154,0.8773751323809933,0.883293085435057,"[[642, 145], [74, 1139]]"
hfl/chinese-roberta-wwm-ext,main,official,101,2000,2000,3,8,2,16,128,102269186,102269186,53.05544580001151,2230.19921875,1,0.38912780380249024,0.8895,0.8844961240310077,0.9406430338004946,0.9117059528565721,0.8844961240310077,0.9406430338004946,0.9117059528565721,0.8915438366633912,0.8756582386283287,0.882038681171105,"[[638, 149], [72, 1141]]"
hfl/chinese-roberta-wwm-ext,main,official,102,2000,2000,3,8,2,16,128,102269186,102269186,53.346395000000484,2230.19921875,1,0.4185433654785156,0.891,0.8847641144624904,0.9431162407254741,0.9130087789305666,0.8847641144624904,0.9431162407254741,0.9130087789305666,0.8935843203146964,0.8768948420908184,0.8835458887959393,"[[638, 149], [69, 1144]]"
hfl/chinese-roberta-wwm-ext,qwen,content,100,400,400,3,8,2,16,128,102269186,102269186,9.149699799992959,1975.75537109375,1,0.3526061248779297,0.87,0.8745098039215686,0.9176954732510288,0.8955823293172691,0.8745098039215686,0.9176954732510288,0.8955823293172691,0.868289384719405,0.8569369086000367,0.8616984494268465,"[[125, 32], [20, 223]]"
hfl/chinese-roberta-wwm-ext,qwen,content,101,400,400,3,8,2,16,128,102269186,102269186,8.73842739999236,1974.84912109375,1,0.3703630065917969,0.8425,0.8515625,0.897119341563786,0.87374749498998,0.8515625,0.897119341563786,0.87374749498998,0.8389756944444444,0.8275405625016383,0.8322225847042923,"[[119, 38], [25, 218]]"
hfl/chinese-roberta-wwm-ext,qwen,content,102,400,400,3,8,2,16,128,102269186,102269186,9.089887800000724,1974.84912109375,1,0.36969786643981933,0.8625,0.8643410852713178,0.9176954732510288,0.8902195608782435,0.8643410852713178,0.9176954732510288,0.8902195608782435,0.8617480074243913,0.8473827684726483,0.8531365362919645,"[[122, 35], [20, 223]]"
hfl/chinese-roberta-wwm-ext,qwen,context,100,400,400,3,8,2,16,128,102269186,102269186,11.02423729999282,2221.82421875,1,0.5158031463623047,0.7825,0.7635135135135135,0.9300411522633745,0.8385899814471243,0.7635135135135135,0.9300411522633745,0.8385899814471243,0.8000259875259875,0.7420906398259548,0.7526283240568954,"[[87, 70], [17, 226]]"
hfl/chinese-roberta-wwm-ext,qwen,context,101,400,400,3,8,2,16,128,102269186,102269186,10.69096449999779,2228.69921875,1,0.6094168090820312,0.675,0.6749226006191951,0.897119341563786,0.7703180212014135,0.6749226006191951,0.897119341563786,0.7703180212014135,0.6751236379719352,0.6141647663232943,0.6073812328229289,"[[52, 105], [25, 218]]"
hfl/chinese-roberta-wwm-ext,qwen,context,102,400,400,3,8,2,16,128,102269186,102269186,10.673044099996332,2228.69921875,1,0.5947438049316406,0.71,0.7152542372881356,0.8683127572016461,0.7843866171003717,0.7152542372881356,0.8683127572016461,0.7843866171003717,0.7052461662631154,0.6666404550339441,0.6708192627486591,"[[73, 84], [32, 211]]"
hfl/chinese-roberta-wwm-ext,qwen,official,100,400,400,3,8,2,16,128,102269186,102269186,11.0344269000052,2221.82421875,1,0.43830558776855466,0.8275,0.8085106382978723,0.9382716049382716,0.8685714285714285,0.8085106382978723,0.9382716049382716,0.8685714285714285,0.8406959971150378,0.7971612801761421,0.8088311688311689,"[[103, 54], [15, 228]]"
hfl/chinese-roberta-wwm-ext,qwen,official,101,400,400,3,8,2,16,128,102269186,102269186,10.785668800002895,2228.69921875,1,0.3406436538696289,0.855,0.8599221789883269,0.9094650205761317,0.884,0.8599221789883269,0.9094650205761317,0.884,0.8530380125710866,0.8400828287594034,0.8453333333333333,"[[121, 36], [22, 221]]"
hfl/chinese-roberta-wwm-ext,qwen,official,102,400,400,3,8,2,16,128,102269186,102269186,10.594628400009242,2228.69921875,1,0.38790571212768554,0.8425,0.8571428571428571,0.8888888888888888,0.8727272727272727,0.8571428571428571,0.8888888888888888,0.8727272727272727,0.8373552123552124,0.829794762915782,0.8330849478390462,"[[121, 36], [27, 216]]"
hfl/chinese-roberta-wwm-ext,qwen,qwen,100,400,400,3,8,2,16,128,102269186,102269186,10.449966799991671,2116.43994140625,1,0.4399429512023926,0.8325,0.8283582089552238,0.9135802469135802,0.8688845401174168,0.8283582089552238,0.9135802469135802,0.8688845401174168,0.8346336499321574,0.8102933081701659,0.8185253150414074,"[[111, 46], [21, 222]]"
hfl/chinese-roberta-wwm-ext,qwen,qwen,101,400,400,3,8,2,16,128,102269186,102269186,10.230587400001241,2116.56884765625,1,0.402731819152832,0.835,0.8612244897959184,0.8683127572016461,0.8647540983606558,0.8612244897959184,0.8683127572016461,0.8647540983606558,0.8273864384463463,0.8258761238237531,0.8266078184110971,"[[123, 34], [32, 211]]"
hfl/chinese-roberta-wwm-ext,qwen,qwen,102,400,400,3,8,2,16,128,102269186,102269186,10.405599899997469,2116.56884765625,1,0.40041528701782225,0.84,0.8653061224489796,0.8724279835390947,0.8688524590163934,0.8653061224489796,0.8724279835390947,0.8688524590163934,0.8326530612244898,0.8311184503682735,0.8318621269440941,"[[124, 33], [31, 212]]"
